frame,instantaneous_MCP_ON,cumulative_MCP_ON,cumulative_MCP_off,total_nuclei,treatment,cycle,replicate
0,0,0,0,112,water,nc14,2
1,0,0,0,112,water,nc14,2
2,1,1,0,112,water,nc14,2
3,6,6,0,112,water,nc14,2
4,25,25,0,112,water,nc14,2
5,47,49,2,112,water,nc14,2
6,72,74,2,112,water,nc14,2
7,81,86,5,112,water,nc14,2
8,92,97,5,112,water,nc14,2
9,95,100,6,112,water,nc14,2
10,98,104,7,112,water,nc14,2
11,104,107,7,112,water,nc14,2
12,104,109,9,112,water,nc14,2
13,106,110,9,112,water,nc14,2
14,105,111,10,112,water,nc14,2
15,108,112,10,112,water,nc14,2
16,109,112,10,112,water,nc14,2
17,106,112,10,112,water,nc14,2
18,109,112,10,112,water,nc14,2
19,106,112,11,112,water,nc14,2
20,105,112,12,112,water,nc14,2
21,104,112,14,112,water,nc14,2
22,104,112,15,112,water,nc14,2
23,105,112,16,112,water,nc14,2
24,105,112,17,112,water,nc14,2
25,102,112,19,112,water,nc14,2
26,99,112,24,112,water,nc14,2
27,99,112,25,112,water,nc14,2
28,100,112,27,112,water,nc14,2
0,0,0,0,103,water,nc14,3
1,0,0,0,103,water,nc14,3
2,2,2,0,103,water,nc14,3
3,18,18,0,103,water,nc14,3
4,48,49,1,103,water,nc14,3
5,61,63,2,103,water,nc14,3
6,77,79,2,103,water,nc14,3
7,88,89,2,103,water,nc14,3
8,92,93,2,103,water,nc14,3
9,94,94,2,103,water,nc14,3
10,96,96,2,103,water,nc14,3
11,97,97,2,103,water,nc14,3
12,101,101,2,103,water,nc14,3
13,101,101,2,103,water,nc14,3
14,101,101,2,103,water,nc14,3
15,102,102,2,103,water,nc14,3
16,102,102,2,103,water,nc14,3
17,102,102,2,103,water,nc14,3
18,102,102,2,103,water,nc14,3
19,102,102,2,103,water,nc14,3
20,103,103,2,103,water,nc14,3
21,103,103,2,103,water,nc14,3
22,103,103,2,103,water,nc14,3
23,102,103,2,103,water,nc14,3
24,102,103,2,103,water,nc14,3
25,102,103,2,103,water,nc14,3
26,101,103,3,103,water,nc14,3
27,101,103,4,103,water,nc14,3
28,101,103,4,103,water,nc14,3
