Group,Replicate,Frame,Channel,Intensity_Mean,Intensity_Variance
M12,1,0,Ch2,22.68221243747587,10574.577589410297
M12,1,1,Ch1,118.84598943370491,14546.605993367708
M12,1,1,Ch2,46.72302975714814,12966.377618487142
M12,1,2,Ch1,140.13938309187418,17733.472843334486
M12,1,2,Ch2,99.2633509140486,21593.4123973364
M12,1,3,Ch1,156.07589225126995,21953.942266484864
M12,1,3,Ch2,182.0479065025636,39296.39961344
M12,1,4,Ch1,161.00180552535323,22834.08636094788
M12,1,4,Ch2,298.7841307407244,53288.22438682849
M12,1,5,Ch1,137.17431428600815,15792.605247399884
M12,1,5,Ch2,341.714802593196,38894.23403163793
M12,1,6,Ch1,106.21345174334692,8010.1163662146355
M12,1,6,Ch2,335.23114539860376,28111.31883749452
M12,2,0,Ch1,113.8246659305799,25831.373281499662
M12,2,0,Ch2,23.641783494907997,12337.949916318405
M12,2,1,Ch1,125.59958914913173,24839.41710993857
M12,2,1,Ch2,43.07358241699308,14611.969805687497
M12,2,2,Ch1,139.10037509257677,27851.410662913575
M12,2,2,Ch2,83.79021361337408,24047.524520471878
M12,2,3,Ch1,160.80014128333144,34842.777724544445
M12,2,3,Ch2,158.05146346913216,48494.39060460872
M12,2,4,Ch1,164.29105726635515,35499.0757473607
M12,2,4,Ch2,273.4699703912623,74138.25703903212
M12,2,5,Ch1,142.9695593532031,25992.5741845104
M12,2,5,Ch2,327.46672796908285,50183.03167242661
M12,2,6,Ch1,116.1193780298623,11798.233187122603
M12,2,6,Ch2,338.55671823619133,30013.826407952794
M12,3,0,Ch1,89.61189245017215,17188.29539945576
M12,3,0,Ch2,18.976289486692735,12486.348942680139
M12,3,1,Ch1,108.09450861498311,18336.607804720155
M12,3,1,Ch2,36.94348121998138,14262.730782489101
M12,3,2,Ch1,130.87146559929138,23140.59603609374
M12,3,2,Ch2,89.27794493825223,23880.46830424114
M12,3,3,Ch1,149.73287350287987,28394.404316328702
M12,3,3,Ch2,168.16160814455043,48184.8581607732
M12,3,4,Ch1,160.71608056345627,31518.308919021183
M12,3,4,Ch2,283.0343014615351,80044.05467816463
M12,3,5,Ch1,137.2622064541499,23540.181782050277
M12,3,5,Ch2,346.55670708626116,55601.92321490279
M12,3,6,Ch1,106.58159016325865,10832.907414617854
M12,3,6,Ch2,347.5305533876923,33441.72605503501
M12,4,0,Ch1,77.96433872859703,10420.081775714967
M12,4,0,Ch2,22.869162886457275,10023.294450983078
M12,4,1,Ch1,96.78888726156171,12071.666468938265
M12,4,1,Ch2,59.74389067832459,14326.368141148987
M12,4,2,Ch1,117.98942361438884,15471.427540623343
M12,4,2,Ch2,140.00704028091803,30662.009105547822
M12,4,3,Ch1,132.06531208994556,18640.053560948974
M12,4,3,Ch2,274.0275729180345,67410.93493878849
M12,4,4,Ch1,117.56818537813623,15451.186594745146
M12,4,4,Ch2,405.3443342723529,73591.87295673278
M12,4,5,Ch1,94.47207946398333,8259.846222363762
M12,4,5,Ch2,438.10819501333765,42036.36083578054
M12,4,6,Ch1,75.7522071952848,4737.172609074741
M12,4,6,Ch2,429.4980781563162,29317.741737958822
M12,5,0,Ch1,90.51098389262532,11484.14207759791
M12,5,0,Ch2,24.514001885729897,9737.76354460358
M12,5,1,Ch1,112.0420329825381,13712.595581248164
M12,5,1,Ch2,54.7670051422981,14024.761243515768
M12,5,2,Ch1,132.55385091135707,16897.091498615042
M12,5,2,Ch2,113.58961642691418,24714.79106243545
M12,5,3,Ch1,142.0469172845287,20186.612820728955
M12,5,3,Ch2,205.08661751296773,49061.14779703055
M12,5,4,Ch1,132.25497836883727,17013.47856542822
M12,5,4,Ch2,301.7284574336089,49644.66223859584
M12,5,5,Ch1,109.08144526653447,10450.643521980352
M12,5,5,Ch2,341.9509998871641,32617.116553121923
M12,5,6,Ch1,86.36648168362632,5756.119222084494
M12,5,6,Ch2,339.88749564793716,22719.808380879298
M12,6,0,Ch1,113.35425963093203,23626.72638011336
M12,6,0,Ch2,32.38709082213609,13888.732445217467
M12,6,1,Ch1,138.86838794330748,26872.976446914327
M12,6,1,Ch2,68.85019601642824,19868.496547168157
M12,6,2,Ch1,173.16194429527405,39165.896937705766
M12,6,2,Ch2,150.6612904220342,50806.41537627048
M12,6,3,Ch1,185.13644795286106,44283.909396569594
M12,6,3,Ch2,269.35895176570625,88986.37293056426
M12,6,4,Ch1,172.0385781135342,37372.861934608605
M12,6,4,Ch2,390.1734602568441,86091.2482230781
M12,6,5,Ch1,140.76402242404214,18365.51695793766
M12,6,5,Ch2,426.733006730774,52277.84326968539
M12,6,6,Ch1,113.34796281725349,8363.434476415503
M12,6,6,Ch2,429.8250181543569,34042.28407054572
